dx32_id,kk,ss,bb,pp,log10(period)
158,1801,2,1073688661,2141694407,16804.7
159,1901,1,1047198,2147216327,17739.9
160,1901,1,1073719969,2147216327,17739.9
161,1901,2,1002056,2147216327,17739.9
162,1901,2,1073576432,2147216327,17739.9
163,2003,1,1040900,2147438687,18691.8
164,2003,1,1073694634,2147438687,18691.8
165,2003,2,964935,2147438687,18691.8
166,2003,2,1073695597,2147438687,18691.8
167,2111,1,1048318,2143947263,19698.2
168,2111,1,1073719627,2143947263,19698.2
169,2111,2,1023929,2143947263,19698.2
170,2111,2,1073516503,2143947263,19698.2
171,2203,1,1041675,2141440559,20555.5
172,2203,1,1073709809,2141440559,20555.5
173,2203,2,1034145,2141440559,20555.5
174,2203,2,1073687710,2141440559,20555.5
175,2309,1,1046953,2147143463,21547.3
176,2309,1,1073719650,2147143463,21547.3
177,2309,2,980142,2147143463,21547.3
178,2309,2,1073716624,2147143463,21547.3
179,2411,1,1046643,2138227199,22494.8
180,2411,1,1073720277,2138227199,22494.8
181,2411,2,960701,2138227199,22494.8
182,2411,2,1073681521,2138227199,22494.8
183,2503,1,1045562,2133944399,23350.9
184,2503,1,1073719199,2133944399,23350.9
185,2503,2,1039452,2133944399,23350.9
186,2503,2,1073702140,2133944399,23350.9
187,2609,1,1032235,2138671967,24342.3
188,2609,1,1073719690,2138671967,24342.3
189,2609,2,921424,2138671967,24342.3
190,2609,2,1073719923,2138671967,24342.3
191,2707,1,1048221,2146370063,25260.9
192,2707,1,1073697994,2146370063,25260.9
193,2707,2,923007,2146370063,25260.9
194,2707,2,1073642864,2146370063,25260.9
195,2801,1,1040902,2146388039,26138.1
196,2801,1,1073721289,2146388039,26138.1
197,2801,2,1029014,2146388039,26138.1
198,2801,2,1073715771,2146388039,26138.1
199,2903,1,1048504,2133427823,27082.3
200,2903,1,1073720598,2133427823,27082.3
201,2903,2,620667,2133427823,27082.3
202,2903,2,1073655527,2133427823,27082.3
203,3001,1,1048008,2144425247,28003.3
204,3001,1,1073693367,2144425247,28003.3
205,3001,2,973895,2144425247,28003.3
206,3001,2,1073531231,2144425247,28003.3
207,3109,1,1028657,2140742519,29008.7
208,3109,1,1073702701,2140742519,29008.7
209,3109,2,842603,2140742519,29008.7
210,3109,2,1073609758,2140742519,29008.7
211,3203,1,1038126,2142764759,29887.1
212,3203,1,1073707984,2142764759,29887.1
213,3203,2,1045174,2142764759,29887.1
214,3203,2,1073494301,2142764759,29887.1
215,3301,1,1029102,2132602463,30794.7
216,3301,1,1073700259,2132602463,30794.7
217,3301,2,927480,2132602463,30794.7
218,3301,2,1073599925,2132602463,30794.7
219,3407,1,1025440,2141240639,31789.6
220,3407,1,1073720463,2141240639,31789.6
221,3407,2,1036658,2141240639,31789.6
222,3407,2,1073570507,2141240639,31789.6
223,3511,1,1044201,2146070687,32763.4
224,3511,1,1073699334,2146070687,32763.4
225,3511,2,931391,2146070687,32763.4
226,3511,2,1073696749,2146070687,32763.4
227,3607,1,1016279,2146457063,33659.5
228,3607,1,1073716724,2146457063,33659.5
229,3607,2,1000578,2146457063,33659.5
230,3607,2,1073593347,2146457063,33659.5
231,3701,1,1025699,2135907023,34528.8
232,3701,1,1073715028,2135907023,34528.8
233,3701,2,1002227,2135907023,34528.8
234,3701,2,1073619234,2135907023,34528.8
235,3803,1,1012956,2115425519,35464.5
236,3803,1,1073713780,2115425519,35464.5
237,3803,2,1044969,2115425519,35464.5
238,3803,2,1073715220,2115425519,35464.5
239,3907,1,1017573,2130101999,36446.1
240,3907,1,1073697705,2130101999,36446.1
241,3907,2,980525,2130101999,36446.1
242,3907,2,1073545500,2130101999,36446.1
243,4001,1,1044560,2143071167,37333.5
244,4001,1,1073666248,2143071167,37333.5
245,4001,2,694433,2143071167,37333.5
246,4001,2,1073431583,2143071167,37333.5
247,5003,1,1033689,2146224359,46686.4
248,5003,1,1073727083,2146224359,46686.4
249,5003,2,1033485,2146224359,46686.4
250,5003,2,1073741516,2146224359,46686.4
251,6007,1,1035429,2137498943,56044.7
252,6007,1,1073737595,2137498943,56044.7
253,6007,2,1015366,2137498943,56044.7
254,6007,2,1073682415,2137498943,56044.7
255,7001,1,1010706,2146873559,65332
256,7001,1,1073709808,2146873559,65332
257,7001,2,954617,2146873559,65332
258,7001,2,1073720260,2146873559,65332
259,7499,1,13620,2147483647,69980.1
260,7499,1,967501,2147483647,69980.1
261,7499,1,1073735056,2147483647,69980.1
262,7499,2,18178,2147483647,69980.1
263,7499,2,1038757,2147483647,69980.1
264,7499,2,1073706686,2147483647,69980.1
265,8009,1,1041446,2142326903,74731.1
266,8009,1,1073717208,2142326903,74731.1
267,8009,2,960779,2142326903,74731.1
268,8009,2,1073724902,2142326903,74731.1
269,9001,1,1045508,2140247399,83983.5
270,9001,1,1073737583,2140247399,83983.5
271,9001,2,1029903,2140247399,83983.5
272,9001,2,1073682825,2140247399,83983.5
273,10007,1,954436,2147051903,93383.7
274,10007,1,1073688561,2147051903,93383.7
275,10007,2,987064,2147051903,93383.7
276,10007,2,1073702542,2147051903,93383.7
277,11003,1,1006998,2146207223,102676.4
278,11003,1,1073664067,2146207223,102676.4
279,11003,2,1047362,2146207223,102676.4
280,11003,2,1073730907,2146207223,102676.4
281,12007,1,990386,2109950867,111956.5
282,12007,1,1073714070,2109950867,111956.5
283,12007,2,879930,2109950867,111956.5
284,12007,2,1073692289,2109950867,111956.5
285,13001,1,1034426,2147191153,121323.7
286,13001,1,1073566489,2147191153,121323.7
287,13001,2,827268,2147191153,121323.7
288,13001,2,1073621150,2147191153,121323.7
289,14009,1,1046516,2146857347,130729.2
290,14009,1,1073730141,2146857347,130729.2
291,14009,2,1041819,2146857347,130729.2
292,14009,2,1073738204,2146857347,130729.2
293,15013,1,1030728,2138487383,140072.9
294,15013,1,1073724930,2138487383,140072.9
295,15013,2,993180,2138487383,140072.9
296,15013,2,1073723417,2138487383,140072.9
297,20011,1,938904,2121351707,186634.8
298,20011,1,1073528611,2121351707,186634.8
299,20011,2,687847,2121351707,186634.8
300,20011,2,1073460800,2121351707,186634.8
301,20897,1,29260,2147483647,195009.3
302,20897,1,1009278,2147483647,195009.3
303,20897,1,1073616009,2147483647,195009.3
304,20897,2,45072,2147483647,195009.3
305,20897,2,1028880,2147483647,195009.3
306,20897,2,1073738158,2147483647,195009.3
307,25013,1,1007372,2135944739,233361
308,25013,1,1073707771,2135944739,233361
309,25013,2,969323,2135944739,233361
310,25013,2,1073692717,2135944739,233361
311,40751,1,949211,2146593347,380278.1
312,40751,2,973351,2146593347,380278.1
313,50551,1,998201,2146725226,471730.6
314,50551,2,1044469,2146725226,471730.6
315,50873,1,1004567,2146123787,474729.3
316,50873,2,1016882,2146123787,474729.3
